שם השכונה,מספר מקלט,כתובת,שטח,סוג,נגישות,מס' נפשות,שייכות,קואורדינטות ציר x,קורדינטות ציר y,כתובות למפה,מינהל,שכונה,קטגוריה
,אלסוואחרה תיכון בנים,חיי אל מדארס 57,,,על יסודי,,,31.74812568913666,35.244558043236474,"חיי אל מדארס 57, ירושלים",,,"ג'אבל מוכבר, מקלט בבית ספר"
,מקיף אלביאן,אבו רביע 7,,,על יסודי,,,31.746467818020303,35.24021254780001,"אבו רביע 7, ירושלים",,,"ג'אבל מוכבר, מקלט בבית ספר"
,בית ספר סואחרה מכין בנות,חיי אל מדארס 72,,,על יסודי,,,31.830969810942893,35.225621305011025,"חיי אל מדארס 72, ירושלים",,,"ג'אבל מוכבר, מקלט בבית ספר"
,בית ספר סוואחרה יסודי בנים א,חיי אל מדארס 70,,,יסודי,,,31.831015387441326,35.225535474319024,"חיי אל מדארס 70, ירושלים",,,"ג'אבל מוכבר, מקלט בבית ספר"
,בית ספר סלעה יסודי בנות,עמר אבן אל עאס סמטה 4 88,,,יסודי,,,31.75606130542941,35.24388500547135,"עמר אבן אל עאס סמטה 4 88, ירושלים",,,"ג'אבל מוכבר, מקלט בבית ספר"
,אמרי נועם,אמרי נועם 1,,,על יסודי,,,,,"אמרי נועם 1, ירושלים",,,"רמות, מקלט בבית ספר"
,בית ספר צלעה יסודי בנים,עמר אבן אל עאס סמטה 1 94,,,יסודי,,,31.75606746224162,35.24382816624986,"עמר אבן אל עאס סמטה 1 94, ירושלים",,,"ג'אבל מוכבר, מקלט בבית ספר"
,בית ספר אהבת משה,ישעיהו 7,,,יסודי,,,31.78594550990849,35.217227324620474,"ישעיהו 7, ירושלים",,,"גאולה, מקלט בבית ספר"
,א-טור מכין בנות,ראבעה אל עדאוויה 75,,,יסודי,,,31.785598609470362,35.24796946082589,"ראבעה אל עדאוויה 75, ירושלים",,,"אבו תור, מקלט בבית ספר"
,בית ספר אור שרגא,ישא ברכה 33,,,יסודי,,,31.791709153809403,35.218924739964926,"ישא ברכה 33, ירושלים",,,"גאולה, מקלט בבית ספר"
,בית ספר אמת ואמונה (סלונים),יואל 39,,,יסודי,,,31.7922476993373,35.22212335345685,"יואל 39, ירושלים",,,"גאולה, מקלט בבית ספר"
,בית ספר באבוב (מ.ח),נחמיה 14,,,על יסודי,,,31.792414475556264,35.21626712276834,"נחמיה 14, ירושלים",,,"גאולה, מקלט בבית ספר"
,בית ספר בית יעקב בית ישראל,לפידות 17,,,יסודי,,,31.789378727173542,35.22163098650754,"לפידות 17, ירושלים",,,"גאולה, מקלט בבית ספר"
,בית ספר בנות מלכים (אוהל רחל),ישא ברכה 32,,,על יסודי,,,31.79198576144061,35.21811000397915,"ישא ברכה 32, ירושלים",,,"גאולה, מקלט בבית ספר"
,אל רשידיה תיכון בנים,סולטן סולימן 35,,,על יסודי,,,31.78392713324678,35.23627720315535,"סולטן סולימן 35, ירושלים",,,"באב א זהרה, מקלט בבית ספר"
,אלביאן יסודי מעורב,אום ליסון סמטה 3 0,,,יסודי,,,31.737107886720118,35.2469915436395,"אום ליסון סמטה 3 0, ירושלים",,,"ג'אבל מוכבר, מקלט בבית ספר"
,ישיבת אגדלך,יואל 13,,,על יסודי,,,31.789834897205633,35.22029649012588,"יואל 13, ירושלים",,,"גאולה, מקלט בבית ספר"
,אלטור יסודי בנים_ב,אל-סהל אל-ג'דיד 25,,,יסודי,,,31.781015153896128,35.25066673208295,"אל-סהל אל-ג'דיד 25, ירושלים",,,"אבו תור, מקלט בבית ספר"
,אלטור מכין בנים א,סלמן אל פרסי 20,,,יסודי,,,,,"סלמן אל פרסי 20, ירושלים",,,"אבו תור, מקלט בבית ספר"
,אלטור מקיף בנים,ראבעה אל-עדוויה סמ2 17,,,על יסודי,,,31.785571250126452,35.24793727432008,"ראבעה אל-עדוויה סמ2 17, ירושלים",,,"אבו תור, מקלט בבית ספר"
,בית ספר הדר ציון,יחזקאל 38,,,יסודי,,,31.792476279830037,35.22083077329241,"יחזקאל 38, ירושלים",,,"גאולה, מקלט בבית ספר"
,בית ספר זכרון אליעזר,אבינועם 4,,,על יסודי,,,31.790229457461443,35.21959689382845,"אבינועם 4, ירושלים",,,"גאולה, מקלט בבית ספר"
,בית ספר חיי עולם,מלכי ישראל 1,,,יסודי,,,31.788620824920947,35.218021620813175,"מלכי ישראל 1, ירושלים",,,"גאולה, מקלט בבית ספר"
,בית ספר חכמה ודעת,עזרא 10,,,על יסודי,,,31.790717579074578,35.21971500546949,"עזרא 10, ירושלים",,,"גאולה, מקלט בבית ספר"
,אלתורי יסודי בנות,אל ת'ורי סמטה 5 135,,,יסודי,,,31.764965587525033,35.23144383388026,"אל ת'ורי סמטה 5 135, ירושלים",,,"אבו תור, מקלט בבית ספר"
,מכון אהרון וישראל (קרלין),הרב אשלג 5,,,על יסודי,,,31.789246758408915,35.222101543641614,"הרב אשלג 5, ירושלים",,,"גאולה, מקלט בבית ספר"
,בית חנינא יסודי בנות (אלאופק),אל ארדשיר 3,,,יסודי,,,,,"אל ארדשיר 3, ירושלים",,,"בית חנינא, מקלט בבית ספר"
,בית ספר פורת יוסף גאולה,יוסף בן מתתיהו 30,,,על יסודי,,,31.788817524570955,35.2142204780321,"יוסף בן מתתיהו 30, ירושלים",,,"גאולה, מקלט בבית ספר"
,ישיבת קרלין סטולין-בית אהרון וישראל,שלמה מוסיוף 25,,,יסודי,,,31.792235433365427,35.22150187617658,"שלמה מוסיוף 25, ירושלים",,,"גאולה, מקלט בבית ספר"
,ישיבת תפארת ישראל רוזין,פרי חדש 8,,,על יסודי,,,31.787876480112395,35.21754767677078,"פרי חדש 8, ירושלים",,,"גאולה, מקלט בבית ספר"
,"בית ספר מ""מ תל""י גאולים ע""ש יצחק נבון",קבוץ גלויות 4,,,יסודי,,,31.755967987118954,35.21881381756074,"קבוץ גלויות 4, ירושלים",,,"בקעה, מקלט בבית ספר"
,בית ספר בית צפאפא יסודי א,אל בראעם 35,,,יסודי,,,31.74142873363179,35.205578230979654,"אל בראעם 35, ירושלים",,,"בית צפאפא, מקלט בבית ספר"
,זהרת אלמדאיין,חיי אל מדארס 0,,,יסודי,,,31.831042733320547,35.225632031988994,"חיי אל מדארס 0, ירושלים",,,"ג'אבל מוכבר, מקלט בבית ספר"
,בית ספר פלך - תורני ניסויי לבנות,יהודה 31,,,על יסודי,,,31.7578930019981,35.21731779152426,"יהודה 31, ירושלים",,,"בקעה, מקלט בבית ספר"
,"מח""ט בנים בית חנינא",אל מרכז 11,,,על יסודי,,,,,"אל מרכז 11, ירושלים",,,"בית חנינא, מקלט בבית ספר"
,מכין אבו חאמד אלגזאלי,אום ליסון 135,,,יסודי,,,31.740626584381474,35.242133302218306,"אום ליסון 135, ירושלים",,,"ג'אבל מוכבר, מקלט בבית ספר"
,"בית ספר מ""מ יאנוש קורצאק",בר כוכבא 99,,,יסודי,,,31.802546400184028,35.240019134304774,"בר כוכבא 99, ירושלים",,,"הגבעה הצרפתית, מקלט בבית ספר"
,מקיף אסמאא בנת אבי בכר בנות,אל פארוק 53,,,על יסודי,,,,,"אל פארוק 53, ירושלים",,,"ג'אבל מוכבר, מקלט בבית ספר"
,"בית ספר בית החינוך ע""ש פרנקל","אצ""ל 20",,,יסודי,,,31.801537327880688,35.23444116931322,"אצ""ל 20, ירושלים",,,"הגבעה הצרפתית, מקלט בבית ספר"
,אולפנת צביה יצירתית,לוחמי הגטאות 7,,,על יסודי,,,31.80149361092352,35.23963058414562,"לוחמי הגטאות 7, ירושלים",,,"הגבעה הצרפתית, מקלט בבית ספר"
,"בית ספר ממ""ד תורני גבעת מרדכי ע""ש הרב בן ציון נמט",הרב סרנא יחזקאל 2,,,יסודי,,,31.763344043906795,35.196259929498865,"הרב סרנא יחזקאל 2, ירושלים",,,"גבעת מרדכי, מקלט בבית ספר"
,אולפנת טליה,הרב חיים הלר 31,,,על יסודי,,,31.762895848555964,35.19852223811146,"הרב חיים הלר 31, ירושלים",,,"גבעת מרדכי, מקלט בבית ספר"
,ישיבת נועם,יצחק דוד מן 7,,,על יסודי,,,31.760942851904723,35.19844553430689,"יצחק דוד מן 7, ירושלים",,,"גבעת מרדכי, מקלט בבית ספר"
,"בית ספר מ""מ היובל",אריה דולצ'ין 21,,,יסודי,,,31.74968006405794,35.17156217663569,"אריה דולצ'ין 21, ירושלים",,,"גבעת משואה, מקלט בבית ספר"
,התיכון הישראלי למדעים ולאמנויות (יאסא),דרך חיים ע. קוליץ 1,,,על יסודי,,,31.751509182411958,35.17677347514507,"דרך חיים ע. קוליץ 1, ירושלים",,,"גבעת משואה, מקלט בבית ספר"
